first_name,last_name,title,release_year,actor_id
PENELOPE,GUINESS,ACADEMY DINOSAUR,2006,1
CHRISTIAN,GABLE,ACADEMY DINOSAUR,2006,10
LUCILLE,TRACY,ACADEMY DINOSAUR,2006,20
SANDRA,PECK,ACADEMY DINOSAUR,2006,30
JOHNNY,CAGE,ACADEMY DINOSAUR,2006,40
MENA,TEMPLE,ACADEMY DINOSAUR,2006,53
WARREN,NOLTE,ACADEMY DINOSAUR,2006,108
OPRAH,KILMER,ACADEMY DINOSAUR,2006,162
ROCK,DUKAKIS,ACADEMY DINOSAUR,2006,188
MARY,KEITEL,ACADEMY DINOSAUR,2006,198
PENELOPE,GUINESS,ANACONDA CONFESSIONS,2006,1
JENNIFER,DAVIS,ANACONDA CONFESSIONS,2006,4
ELVIS,MARX,ANACONDA CONFESSIONS,2006,22
JAYNE,NOLTE,ANACONDA CONFESSIONS,2006,150
HUMPHREY,WILLIS,ANACONDA CONFESSIONS,2006,164
PENELOPE,GUINESS,ANGELS LIFE,2006,1
JENNIFER,DAVIS,ANGELS LIFE,2006,4
GRACE,MOSTEL,ANGELS LIFE,2006,7
JULIA,BARRYMORE,ANGELS LIFE,2006,47
CHRISTOPHER,BERRY,ANGELS LIFE,2006,91
ED,MANSFIELD,ANGELS LIFE,2006,136
NICK,DEGENERES,ANGELS LIFE,2006,166
LAURENCE,BULLOCK,ANGELS LIFE,2006,167
RENEE,BALL,ANGELS LIFE,2006,187
PENELOPE,GUINESS,BULWORTH COMMANDMENTS,2006,1
ANGELA,HUDSON,BULWORTH COMMANDMENTS,2006,65
SCARLETT,BENING,BULWORTH COMMANDMENTS,2006,124
ALAN,DREYFUSS,BULWORTH COMMANDMENTS,2006,173
PENELOPE,GUINESS,CHEAPER CLYDE,2006,1
LUCILLE,TRACY,CHEAPER CLYDE,2006,20
PENELOPE,GUINESS,COLOR PHILADELPHIA,2006,1
GROUCHO,DUNST,COLOR PHILADELPHIA,2006,106
SALMA,NOLTE,COLOR PHILADELPHIA,2006,122
